availability_365,availability_30,availability_60,availability_90
97,0,0,7
265,1,1,1
155,1,2,2
282,7,7,7
17,0,8,8
35,8,8,35
74,17,43,73
118,10,17,28
351,23,49,79
34,12,31,34
322,12,36,66
30,0,0,5
22,22,22,22
264,0,19,49
316,0,30,60
246,1,26,56
169,24,49,79
41,14,41,41
300,28,58,88
346,15,41,71
31,22,30,31
330,8,26,56
48,22,48,48
349,26,48,74
307,6,6,32
313,20,33,63
328,25,26,53
255,2,6,20
347,28,58,88
316,0,23,50
88,29,59,88
156,0,0,0
298,8,25,36
299,9,18,46
282,1,1,24
42,10,26,42
125,29,59,89
55,1,25,55
65,21,43,65
350,18,48,75
35,12,20,35
304,14,38,68
221,15,43,70
18,18,18,18
351,30,60,90
65,9,35,65
66,1,19,19
353,25,53,80
208,11,41,71
71,15,41,71
58,15,31,58
157,17,40,70
314,0,12,42
110,18,39,39
129,6,6,6
326,18,33,58
153,15,35,65
69,9,39,69
25,0,0,25
151,18,40,63
302,0,25,55
11,9,11,11
146,17,34,56
176,26,56,86
78,24,48,78
354,26,54,81
157,7,37,67
297,3,14,34
98,9,23,37
166,16,46,76
232,4,16,16
314,6,20,45
69,17,40,69
279,8,38,62
128,11,39,69
311,7,21,46
95,1,29,59
77,18,48,77
349,21,51,81
357,26,56,86
159,9,39,69
248,2,2,2
96,12,39,39
139,4,27,57
74,17,45,74
46,8,17,46
264,20,50,79
356,23,53,83
14,0,0,14
164,18,42,42
176,30,54,54
30,3,3,29
267,10,12,15
165,23,45,75
319,10,26,44
168,25,46,46
355,26,50,80
1,0,0,1
16,0,0,0
352,26,48,77
349,20,44,74
214,2,9,36
167,21,45,45
62,13,32,62
358,30,60,90
297,7,24,42
324,2,19,49
19,17,19,19
192,12,24,51
32,0,2,32
315,25,45,70
188,17,40,65
280,6,6,6
64,12,33,63
54,30,54,54
15,5,15,15
77,23,47,77
20,0,1,20
46,10,19,46
99,24,51,74
23,23,23,23
82,29,54,82
75,21,44,74
351,25,46,76
104,14,44,74
36,1,7,36
68,10,38,68
58,8,32,58
140,4,21,44
212,0,0,1
174,28,52,52
78,23,48,78
39,2,6,9
356,25,51,81
164,24,46,74
49,11,22,49
303,0,0,28
79,26,50,79
147,7,28,58
35,12,35,35
80,20,46,75
35,2,8,35
87,27,56,86
58,0,29,58
34,0,5,34
290,30,50,75
307,11,25,41
77,19,43,65
340,8,35,65
26,26,26,26
360,30,60,90
86,24,24,24
338,16,41,71
131,9,28,58
151,0,0,0
347,21,51,81
40,0,10,40
307,14,14,32
173,30,60,82
105,10,27,57
329,23,53,80
323,0,18,48
165,0,0,0
92,0,1,4
317,21,49,50
315,12,28,55
335,24,50,80
71,11,41,71
345,16,40,70
81,12,39,69
63,0,0,2
169,19,49,79
210,11,11,11
361,29,56,86
260,0,0,0
300,4,33,59
350,16,45,75
357,28,58,87
270,4,11,30
155,11,35,65
347,13,42,72
358,26,53,83
161,14,44,73
164,17,43,73
313,0,8,38
260,3,21,34
73,17,44,73
137,6,30,53
117,26,56,86
326,9,31,56
66,7,13,13
349,19,44,74
7,3,3,7
18,17,18,18
85,27,56,85
297,1,5,22
240,0,0,0
20,0,0,20
8,4,8,8
358,27,57,87
139,4,29,56
157,12,37,67
32,6,12,19
276,2,2,2
350,19,45,75
11,6,11,11
81,17,44,74
315,0,10,40
343,13,38,68
57,25,55,57
38,2,2,2
58,12,32,58
81,27,51,81
68,3,15,34
333,3,28,58
161,11,41,71
89,0,29,59
66,18,46,66
324,4,19,49
58,7,28,58
18,5,5,5
48,5,18,48
338,21,33,63
334,9,34,64
300,26,55,55
147,13,33,55
170,24,51,81
285,3,10,27
334,3,29,59
33,4,33,33
200,3,29,59
10,2,2,10
3,1,1,1
205,1,1,1
19,0,0,0
37,3,5,7
324,15,19,49
32,2,3,32
151,9,32,62
316,7,28,58
66,7,37,66
4,3,3,3
56,0,27,56
22,6,6,22
349,18,44,74
352,27,54,84
30,3,29,30
58,0,0,8
17,8,12,12
324,9,32,57
24,0,0,24
218,2,2,2
25,0,8,12
56,2,27,56
73,25,43,73
334,17,29,59
86,0,0,0
246,0,0,6
10,3,10,10
221,7,7,7
149,0,29,59
181,3,3,3
25,24,25,25
270,1,1,28
81,20,50,80
346,17,44,74
27,0,8,15
48,4,21,48
283,8,8,8
315,2,20,40
87,11,28,54
94,6,13,27
204,1,3,4
71,19,44,71
143,4,23,53
134,9,15,44
341,21,41,71
68,8,8,8
127,3,10,37
119,5,35,59
171,30,35,35
347,19,49,79
274,16,35,35
228,0,6,8
300,6,7,29
291,7,13,16
328,9,39,69
156,9,38,66
289,15,15,15
82,18,48,78
148,6,28,58
26,0,10,26
99,12,26,39
41,6,11,41
192,0,0,0
41,2,31,41
32,11,11,31
63,30,60,63
58,24,28,58
16,1,1,16
339,25,55,85
48,2,18,48
281,6,23,33
272,2,11,11
94,1,1,1
247,5,8,8
247,7,20,37
292,7,16,44
16,13,13,16
45,1,19,45
6,0,3,6
189,7,12,15
72,17,43,72
145,16,33,55
336,2,31,61
305,0,0,30
120,10,24,44
253,0,5,16
170,0,0,0
56,30,31,56
26,0,8,18
344,19,49,79
36,1,12,36
321,2,16,46
55,4,28,55
300,9,24,29
43,8,9,9
58,25,55,58
333,2,28,58
338,9,36,63
26,10,26,26
22,0,0,3
67,0,0,0
250,4,4,4
19,1,1,4
313,1,23,38
347,17,42,72
16,11,16,16
20,3,3,3
142,1,22,52
344,13,39,69
8,6,8,8
4,0,0,4
297,14,31,58
37,25,26,37
10,0,0,10
18,12,18,18
40,0,14,14
332,15,45,75
316,1,14,41
135,18,48,78
329,7,31,56
214,5,5,5
105,4,4,12
155,7,19,19
118,1,1,1
34,1,11,34
242,0,10,10
116,3,3,26
36,11,36,36
13,2,2,13
68,3,3,4
105,15,45,75
116,0,0,26
4,0,1,4
46,18,46,46
349,16,44,74
155,5,35,65
135,0,27,45
204,0,0,0
183,4,7,11
8,4,5,8
7,0,4,7
155,6,35,65
35,30,35,35
57,2,27,57
336,10,34,64
314,12,42,72
337,13,41,69
63,11,33,63
78,0,0,0
314,3,25,39
132,0,0,0
140,21,40,64
59,6,29,59
323,6,32,57
285,0,24,50
330,8,25,55
333,12,28,58
26,25,26,26
26,1,1,26
48,10,18,48
149,16,34,60
19,3,6,6
49,1,19,49
50,22,23,50
6,2,2,6
332,4,27,57
342,15,41,67
270,16,17,24
62,10,29,31
338,8,33,63
295,11,29,59
250,29,34,36
337,12,42,72
57,10,37,57
306,11,25,48
62,3,5,35
348,21,43,73
238,0,0,0
361,29,59,89
18,13,15,18
39,8,15,39
351,24,54,84
153,14,37,66
56,1,1,28
16,7,16,16
75,19,45,75
15,2,15,15
39,0,9,39
43,6,17,24
339,4,34,64
217,6,6,6
100,8,9,39
18,0,0,18
19,5,19,19
140,7,24,54
145,7,16,25
26,0,0,0
313,7,8,38
96,16,46,76
215,10,13,13
10,6,6,10
168,18,48,78
359,26,56,86
284,2,7,30
343,14,38,68
53,27,28,53
235,3,9,18
227,0,0,0
312,4,25,37
42,20,20,41
124,7,7,34
113,27,57,87
39,5,9,39
170,20,50,80
334,9,32,62
115,3,18,46
167,17,47,77
349,16,46,76
24,0,24,24
58,0,3,3
181,30,60,90
90,16,29,29
26,0,12,24
12,0,0,12
85,0,29,59
252,16,46,76
57,12,27,57
154,8,34,64
315,9,10,40
14,10,14,14
133,17,34,56
142,6,28,56
200,7,19,32
292,2,10,33
59,0,2,2
337,10,40,62
52,10,36,52
48,18,45,48
126,0,13,43
272,1,1,1
249,0,0,2
87,14,26,26
300,10,24,40
12,6,6,12
24,20,24,24
342,12,41,71
72,16,42,72
95,2,6,8
67,7,37,67
168,2,9,34
163,19,49,79
16,6,16,16
322,5,22,50
5,1,1,5
74,18,44,74
282,7,26,43
147,0,25,55
159,17,41,69
328,17,39,67
228,0,0,0
307,1,2,32
90,10,37,54
127,10,40,70
249,4,13,26
2,0,2,2
79,18,48,78
257,8,8,9
70,5,31,61
12,0,0,0
38,25,36,38
92,1,25,43
308,7,7,33
293,17,18,18
61,5,31,61
38,19,38,38
147,0,27,57
343,13,42,72
272,29,59,89
48,9,23,48
14,0,14,14
58,29,58,58
149,5,30,60
286,0,0,11
157,1,5,7
346,19,41,71
7,4,7,7
310,5,5,35
340,14,35,65
74,14,44,74
105,2,11,23
155,15,36,66
351,20,48,76
292,3,12,29
53,0,3,3
182,0,0,0
28,0,2,28
53,9,32,53
52,11,29,52
19,4,9,19
353,22,48,78
301,0,0,27
318,7,13,43
310,5,8,35
338,7,37,63
16,15,16,16
320,14,16,46
147,0,28,58
123,8,27,57
148,11,28,56
67,8,38,67
