number_of_reviews,reviews_score_rating,reviews_per_month
25,98,0.64
91,97,1.85
131,94,2.22
1,100,0.91
4,100,0.12
6,100,0.35
13,98,0.23
6,100,0.78
17,99,1.4
2,100,0.05
121,95,2.27
30,91,3.81
21,100,1.18
11,98,1.17
321,95,5.94
6,100,1.17
10,94,0.23
56,95,3.01
62,98,2.79
70,95,1.63
8,86,0.25
44,93,4.8
2,100,0.97
2,90,0.48
35,97,0.62
11,96,0.37
14,99,0.89
45,98,2.37
19,99,2.98
2,100,0.3
3,100,0.19
37,96,1.99
98,96,2.51
6,97,0.14
28,95,1.52
56,97,1.46
67,99,1.28
15,99,1.51
8,83,0.43
3,93,0.25
50,89,1.64
29,99,1.49
52,95,3.63
54,97,4.85
31,97,4.1
4,85,0.56
5,100,0.91
10,94,1.05
16,100,3.56
21,96,0.77
7,100,0.45
55,98,3.1
123,94,4.82
9,95,0.52
14,93,0.53
25,98,1.44
22,96,1.23
20,97,1.03
14,100,0.45
89,96,3.72
86,95,2.65
44,97,4.16
12,98,1.23
32,97,1.74
5,100,0.69
12,98,0.71
92,98,5.64
1,,0.29
45,100,1.07
12,91,0.62
41,95,1.91
3,100,0.11
11,91,0.63
19,98,2.85
13,94,3.28
18,100,2.35
6,100,0.11
8,95,0.89
34,96,1.56
6,93,0.32
40,94,0.94
3,100,0.17
79,93,8.75
52,95,1.49
163,95,2.97
25,94,0.53
37,89,3.09
74,98,2.24
7,87,0.26
26,95,2.89
1,100,0.45
36,99,1.92
27,96,3.21
10,98,3.85
146,95,2.24
3,93,0.35
6,100,2.31
10,87,0.21
30,87,1.67
4,100,0.62
15,89,4.33
133,89,3.18
108,98,1.8
12,93,0.27
4,95,0.24
245,96,5.92
7,100,0.92
4,100,0.61
5,95,0.21
8,100,1.09
3,93,0.38
4,100,0.49
8,100,0.47
4,100,0.85
5,96,4.05
145,95,3.19
11,98,3.3
12,93,1.1
21,94,1
39,99,1.2
11,93,2.66
23,97,1.39
167,96,3.84
9,98,1.45
14,100,1.57
10,94,4.76
4,100,0.33
3,87,1.14
48,97,4.47
29,99,3.75
89,89,4.53
16,100,3.53
188,98,4.11
5,84,0.5
3,100,0.2
293,94,5.67
60,98,1.67
85,98,6.93
83,93,8.01
9,93,2.43
95,97,3.45
30,98,1.94
18,96,1.89
102,96,2.98
14,90,0.89
9,98,2.6
45,98,2.26
14,96,3.93
15,79,0.81
5,68,0.41
7,100,1.04
3,87,0.21
1,100,0.2
6,96,0.2
8,100,0.48
24,97,1.44
34,95,2.06
153,90,7.36
59,98,1.42
7,91,3.82
4,100,0.35
41,98,5.32
30,87,2.36
5,96,0.26
15,92,0.57
31,98,1.57
18,94,4.82
6,100,0.21
20,73,0.89
40,95,4.2
56,98,5.09
9,100,0.53
34,97,2.16
34,99,1.39
23,93,6.11
21,92,0.49
6,100,0.88
1,,0.13
13,94,5.49
9,100,3.42
1,80,0.2
3,100,0.55
8,95,0.2
4,100,1.11
7,94,0.63
1,,0.02
131,94,6.07
35,86,1.03
3,93,2.25
127,98,4.31
179,97,5.26
238,96,6.28
26,97,3.55
2,100,0.48
3,73,0.11
3,87,0.63
13,88,0.43
69,99,4.69
97,99,3.39
62,94,7.88
64,93,3.52
66,100,3.81
43,78,0.59
23,91,0.81
14,78,0.42
2,100,0.5
2,50,0.33
60,95,1.26
3,100,1.96
1,,0.11
66,97,1.26
1,40,0.04
4,90,0.94
25,97,0.76
2,100,0.38
39,87,1.3
22,97,1.08
61,98,5.55
1,100,0.47
61,89,1.14
3,90,0.61
30,82,1.97
171,94,5.36
17,81,3.17
15,99,0.81
5,100,0.08
122,92,3.11
74,94,5.19
125,98,2.22
1,,0.83
2,90,0.33
2,100,0.29
10,90,0.59
12,95,0.28
54,99,3.18
7,91,0.16
57,95,3.22
14,95,0.43
20,86,2.53
2,100,1.18
111,93,1.67
6,80,0.17
3,87,0.39
4,87,0.23
67,93,5.95
58,94,3.99
19,97,1.42
61,88,5.53
52,87,0.96
5,96,3.49
85,92,2
85,100,7.87
99,99,6.28
27,99,0.88
26,94,2.11
22,97,1.3
8,97,2.31
55,91,3.56
26,95,6.67
144,98,2.27
114,97,5.25
87,96,3.34
58,93,5.45
2,80,0.31
111,89,6.97
155,96,3.55
9,98,1.84
8,100,4.71
14,99,0.48
41,89,5.49
38,95,2.66
335,94,6.15
8,100,0.92
23,96,0.42
9,93,1.32
43,94,4.08
12,80,0.41
34,94,1.4
11,89,1.39
14,93,0.46
82,96,5.23
4,100,1.02
3,93,0.48
10,98,0.66
158,92,9.22
3,100,0.41
60,98,1.84
21,97,0.72
85,94,4.82
5,100,1.27
25,92,3.14
254,86,5.14
17,98,0.78
22,93,0.54
11,100,3.75
46,98,2.73
139,93,5.05
47,84,2.41
42,98,1.44
4,100,0.53
5,92,0.2
5,88,0.96
3,100,0.28
44,93,2.7
1,100,0.49
74,93,1.72
16,98,2.67
20,92,3.64
3,87,0.62
